Island Group,Year,Region,Province,Estimated Cases,Standard Error ('000),Coefficient of Variation (%)
Mindanao,2020,REGION XII (SOCCSKSARGEN),General Santos City,439.761,38.608,8.78
Mindanao,2020,REGION XII (SOCCSKSARGEN),Sultan Kudarat,569.605,58.005,10.18
Mindanao,2020,REGION XII (SOCCSKSARGEN),Sarangani,386.807,37.213,9.62
Mindanao,2020,REGION XIII (CARAGA),Agusan Norte,259.992,24.441,9.4
Mindanao,2020,REGION XIII (CARAGA),Butuan City,239.768,20.196,8.42
Mindanao,2020,REGION XIII (CARAGA),Agusan del Sur,471.597,46.714,9.91
Mindanao,2020,REGION XIII (CARAGA),Surigao del Norte,361.377,36.208,10.02
Mindanao,2020,REGION XIII (CARAGA),Surigao del Sur,414.492,40.53,9.78
Mindanao,2020,REGION XIII (CARAGA),Dinagat Islands,88.686,12.839,14.48
Mindanao,2020,BARMM (ARMM),Basilan,230.201,24.824,10.78
Mindanao,2020,BARMM (ARMM),Lanao del Sur,101.458,77.357,11.03
Mindanao,2020,BARMM (ARMM),Maguindanao,110.558,86.27,10.64
Mindanao,2020,BARMM (ARMM),Sulu,559.446,64.192,11.47
Mindanao,2020,BARMM (ARMM),Tawi-Tawi,255.395,35.436,13.87
Mindanao,2021,REGION IX (ZAMBOANGA PENINSULA),Zamboanga del Norte,79.802,70.988,9.86
Mindanao,2021,REGION IX (ZAMBOANGA PENINSULA),Zamboanga del Sur,73.281,76.112,10.52
Mindanao,2021,REGION IX (ZAMBOANGA PENINSULA),Zamboanga City,62.337,56.743,9.42
Mindanao,2021,REGION IX (ZAMBOANGA PENINSULA),Zamboanga Sibugay,43.281,44.81,9.89
Mindanao,2021,REGION IX (ZAMBOANGA PENINSULA),Isabela City,86.571,14.09,16.27
Mindanao,2021,REGION X (NORTHERN MINDANAO),Bukidnon,141.799,101.812,9.77
Mindanao,2021,REGION X (NORTHERN MINDANAO),Camiguin,63.301,10.489,16.56
Mindanao,2021,REGION X (NORTHERN MINDANAO),Lanao del Norte,498.061,51.786,10.4
Mindanao,2021,REGION X (NORTHERN MINDANAO),Iligan City,242.389,22.324,9.21
Mindanao,2021,REGION X (NORTHERN MINDANAO),Misamis Occidental,441.991,43.045,9.74
Mindanao,2021,REGION X (NORTHERN MINDANAO),Misamis Oriental,675.261,71.854,10.63
Mindanao,2021,REGION X (NORTHERN MINDANAO),Cagayan De Oro City,524.371,47.082,8.98
Mindanao,2021,REGION XI (DAVAO REGION),Davao del Norte,135.948,78.042,10.61
Mindanao,2021,REGION XI (DAVAO REGION),Davao Sur,490.772,48.856,9.95
Mindanao,2021,REGION XI (DAVAO REGION),Davao City,185.296,134.98,10.5
Mindanao,2021,REGION XI (DAVAO REGION),Davao Oriental,402.613,41.899,10.41
Mindanao,2021,REGION XI (DAVAO REGION),Davao de Oro,535.003,55.189,10.31
Mindanao,2021,REGION XI (DAVAO REGION),Davao Occidental,231.969,23.774,10.25
Mindanao,2021,REGION XII (SOCCSKSARGEN),Cotabato,122.038,105.312,10.3
Mindanao,2021,REGION XII (SOCCSKSARGEN),Cotabato City,203.553,26.312,12.93
Mindanao,2021,REGION XII (SOCCSKSARGEN),South Cotabato,692.887,67.19,9.7
Mindanao,2021,REGION XII (SOCCSKSARGEN),General Santos City,444.501,38.926,8.76
Mindanao,2021,REGION XII (SOCCSKSARGEN),Sultan Kudarat,175.682,58.65,10.19
Mindanao,2021,REGION XII (SOCCSKSARGEN),Sarangani,390.883,37.768,9.66
Mindanao,2021,REGION XIII (CARAGA),Agusan Norte,262.594,24.72,9.42
Mindanao,2021,REGION XIII (CARAGA),Butuan City,241.864,20.41,8.44
Mindanao,2021,REGION XIII (CARAGA),Agusan del Sur,46.273,47.089,9.88
Mindanao,2021,REGION XIII (CARAGA),Surigao del Norte,35.842,36.508,9.98
Mindanao,2021,REGION XIII (CARAGA),Surigao del Sur,418.661,40.844,9.76
Mindanao,2021,REGION XIII (CARAGA),Dinagat Islands,89.94,13.01,14.46
Mindanao,2021,BARMM (ARMM),Basilan,232.733,25.049,10.76
Mindanao,2021,BARMM (ARMM),Lanao del Sur,107.853,78.002,11.02
Mindanao,2021,BARMM (ARMM),Maguindanao,819.14,87.018,10.63
Mindanao,2021,BARMM (ARMM),Sulu,64.675,64.84,11.48
Mindanao,2021,BARMM (ARMM),Tawi-Tawi,258.444,35.79,12
Mindanao,2022,REGION IX (ZAMBOANGA PENINSULA),Zamboanga del Norte,47.203,72.213,9.93
Mindanao,2022,REGION IX (ZAMBOANGA PENINSULA),Zamboanga del Sur,12.985,77.22,10.58
Mindanao,2022,REGION IX (ZAMBOANGA PENINSULA),Zamboanga City,60.412,57.686,9.49
Mindanao,2022,REGION IX (ZAMBOANGA PENINSULA),Zamboanga Sibugay,47.593,45.43,9.93
Mindanao,2022,REGION IX (ZAMBOANGA PENINSULA),Isabela City,87.753,14.222,16.21
Mindanao,2022,REGION X (NORTHERN MINDANAO),Bukidnon,13.217,103.094,9.79
Mindanao,2022,REGION X (NORTHERN MINDANAO),Camiguin,64.225,10.622,16.54
Mindanao,2022,REGION X (NORTHERN MINDANAO),Lanao del Norte,50.875,52.369,10.41
Mindanao,2022,REGION X (NORTHERN MINDANAO),Iligan City,24.598,22.561,9.22
Mindanao,2022,REGION X (NORTHERN MINDANAO),Misamis Occidental,44.426,43.492,9.74
Mindanao,2022,REGION X (NORTHERN MINDANAO),Misamis Oriental,62.982,72.741,10.65
Mindanao,2022,REGION X (NORTHERN MINDANAO),Cagayan De Oro City,59.121,47.61,9
Mindanao,2022,REGION XI (DAVAO REGION),Davao del Norte,143.629,79.064,10.63
Mindanao,2022,REGION XI (DAVAO REGION),Davao Sur,96.633,49.55,9.98
Mindanao,2022,REGION XI (DAVAO REGION),Davao City,295.303,136.012,10.5
Mindanao,2022,REGION XI (DAVAO REGION),Davao Oriental,47.164,42.372,10.41
Mindanao,2022,REGION XI (DAVAO REGION),Davao de Oro,51.512,56.06,10.35
Mindanao,2022,REGION XI (DAVAO REGION),Davao Occidental,24.544,24.035,10.25
Mindanao,2022,REGION XII (SOCCSKSARGEN),Cotabato,71.559,106.678,10.34
Mindanao,2022,REGION XII (SOCCSKSARGEN),Cotabato City,20.319,26.517,12.92
Mindanao,2022,REGION XII (SOCCSKSARGEN),South Cotabato,98.941,67.63,9.68
Mindanao,2022,REGION XII (SOCCSKSARGEN),General Santos City,69.129,39.205,8.73
Mindanao,2022,REGION XII (SOCCSKSARGEN),Sultan Kudarat,81.031,59.21,10.19
Mindanao,2022,REGION XII (SOCCSKSARGEN),Sarangani,39.008,38.209,9.68
Mindanao,2022,REGION XIII (CARAGA),Agusan Norte,25.201,24.998,9.43
Mindanao,2022,REGION XIII (CARAGA),Butuan City,24.774,20.629,8.46
Mindanao,2022,REGION XIII (CARAGA),Agusan del Sur,41.305,47.466,9.86
Mindanao,2022,REGION XIII (CARAGA),Surigao del Norte,30.011,36.797,9.94
Mindanao,2022,REGION XIII (CARAGA),Surigao del Sur,43.291,41.173,9.72
Mindanao,2022,REGION XIII (CARAGA),Dinagat Islands,91.122,13.162,14.45
Mindanao,2022,BARMM (ARMM),Basilan,25.204,25.263,10.74
Mindanao,2022,BARMM (ARMM),Lanao del Sur,74.062,78.654,11.01
Mindanao,2022,BARMM (ARMM),Maguindanao,27.259,87.775,10.61
Mindanao,2022,BARMM (ARMM),Sulu,59.812,65.435,11.48
Mindanao,2022,BARMM (ARMM),Tawi-Tawi,21.489,36.15,13.83
